$MOVEMENTEVALUATION:SIMRUN,TIMEINT,MOVEMENT,QLEN,QLENMAX,VEHS(ALL),PERS(ALL),VEHDELAY(ALL),PERSDELAY(ALL),STOPDELAY(ALL),STOPS(ALL),EMISSIONSCO,EMISSIONSNOX,EMISSIONSVOC,FUELCONSUMPTION
89,0-30,1-5@775.8-5@820.6,0.00,0.00,0,0,,,,,,,,
89,0-30,1-5@775.8-10005@28.0,0.00,0.00,0,0,,,,,,,,
89,0-30,1-14@693.2-14@738.8,0.00,0.00,0,0,,,,,,,,
89,0-30,1-14@693.2-10004@26.5,0.00,0.00,0,0,,,,,,,,
89,0-30,1,0.00,0.00,0,0,,,,,,,,
89,0-30,2-1@837.8-1@893.0,0.00,0.00,0,0,,,,,,,,
89,0-30,2-1@837.8-14@851.1,0.00,0.00,0,0,,,,,,,,
89,0-30,2-14@796.4-14@851.1,0.00,0.00,0,0,,,,,,,,
89,0-30,2-14@796.4-10001@30.8,0.00,0.00,0,0,,,,,,,,
89,0-30,2,0.00,0.00,0,0,,,,,,,,
89,0-30,3-4@324.6-4@369.4,0.00,0.00,0,0,,,,,,,,
89,0-30,3-4@324.6-10007@30.9,0.00,0.00,0,0,,,,,,,,
89,0-30,3-14@898.0-14@946.8,0.00,0.00,0,0,,,,,,,,
89,0-30,3-14@898.0-10006@31.1,0.00,0.00,0,0,,,,,,,,
89,0-30,3,0.00,0.00,0,0,,,,,,,,
89,0-30,4-14@1011.0-14@1063.6,0.00,0.00,0,0,,,,,,,,
89,0-30,4-14@1011.0-10016@29.4,0.00,0.00,0,0,,,,,,,,
89,0-30,4-15@604.3-14@1063.6,0.00,0.00,0,0,,,,,,,,
89,0-30,4-15@604.3-15@649.2,0.00,0.00,0,0,,,,,,,,
89,0-30,4,0.00,0.00,0,0,,,,,,,,
89,0-30,5-6@768.7-6@814.5,0.00,0.00,0,0,,,,,,,,
89,0-30,5-6@768.7-15@962.8,0.00,0.00,0,0,,,,,,,,
89,0-30,5-15@914.3-15@962.8,0.00,0.00,0,0,,,,,,,,
89,0-30,5-15@914.3-10009@29.7,0.00,0.00,0,0,,,,,,,,
